id,nombre,codigo,estrato,id_comuna,created,updated
2055,La Isla,413,2,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2056,Marco Fidel Suárez,414,2,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2057,Evaristo García,415,2,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2058,La Esmeralda,416,2,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2059,Bolivariano,417,2,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2060,Olaya Herrera,418,2,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2061,Unidad Residencial Bueno Madrid,419,3,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2062,Flora Industrial,420,3,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2063,Calima,421,3,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2064,Industria de Licores,423,NR,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2065,La Alianza,497,3,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2066,El Sena,501,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2067,Los Andes,502,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2068,Los Guayacanes,503,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2069,Chiminangos Segunda Etapa,504,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2070,Chiminangos Primera Etapa,505,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2071,Metropolitano del Norte,506,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2072,Los Parques - Barranquilla,594,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2073,Villa del Sol,595,4,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2074,Paseo de Los Almendros,596,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2075,Los Andes B - La Riviera,597,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2076,Torres de Comfandi,598,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2077,Villa del Prado - El Guabito,599,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2078,San Luís,601,2,1005,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
