id,nombre
3249,El Gran Limonar
3250,Unicentro Cali
3251,Ciudadela Pasoancho
3252,Prados del Limonar
3253,Urbanización San Joaquin
3254,Buenos Aires
3255,Barrio Caldas
3256,Los Chorros
3257,Meléndez
3258,Los Farallones
3259,Francisco Eladio Ramirez
3260,Prados del Sur
3261,Horizontes
3262,Mario Correa Rengifo
3263,Lourdes
3264,Colinas del Sur
3265,Alférez Real
3266,Nápoles
3267,El Jordán
3268,Cuarteles Napoles
3269,Sector Alto de Los Chorros
3270,Polvorines
3271,Sector Meléndez
3272,Sector Alto Jordán
3273,Alto Nápoles
3274,El Refugio
3275,La Cascada
3276,El Lido
3277,Urbanización Tequendama
3278,Barrio Eucarístico
3279,San Fernando Nuevo
3280,Urbanización Nueva Granada
3281,Santa Isabel
3282,Bellavista
3283,San Fernando Viejo
3284,Miraflores
3285,3 de Julio
3286,El Cedro
3287,Champagñat
3288,Urbanización Colseguros
3289,Los Cambulos
3290,El Mortiñal
3291,Urbanización Militar
3292,Cuarto de Legua - Guadalupe
3293,Nueva Tequendama
3294,Camino Real - Joaquín Borrero Sinisterra
3295,Camino Real - Los Fundadores
3296,Altos de Santa Isabel -  La Morelia
3297,Santa Barbara
3298,Tejares - Cristales
3299,Unidad Residencial Santiago de Cali
3300,Unidad Residencial El Coliseo
3301,Cañaveralejo - Seguros Patria
3302,Cañaveral
3303,Pampa Linda
3304,Sector Cañaveralejo Guadalupe
3305,U.D. Alberto Galindo -  Plaza de Toros
3306,El Cortijo
3307,Belisario Caicedo
3308,Siloé
3309,Lleras Camargo
3310,Belén
3311,Brisas de Mayo
3312,Tierra Blanca
3313,Pueblo Joven
3314,Carabineros
3315,Venezuela - Urbanización Cañaveralejo
3316,La Sultana
3317,Pízamos I
3318,Pízamos II
3319,Calimio Desepaz
3320,El Remanso
3321,Los Líderes
3322,Desepaz Invicali
3323,Compartir
3324,Ciudad Talanga
3325,Villamercedes I - Villa Luz - Las Garzas
3326,Pízamos III - Las Dalias
3327,Potrero Grande
