id,nombre,codigo,created,updated
5000,Las Vegas,8101,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5001,Las Vegas del Lili,8102,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5002,Ciudad Melendez,8103,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5003,Ciudad Melendez 2,8104,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5004,El Guayabal,8105,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5005,PP2,8106,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5006,El Verdal - Gonchelandia,8107,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5007,Bochalema,8108,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5008,PP1,8109,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5009,Andalucía (PP3),8110,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5010,Cachipay,8111,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5011,Lituania - Dalandia,8112,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5012,Piedrachiquita,8113,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5013,El Capricho,8114,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5014,El Marañon,8115,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5015,PP4,8116,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5016,PP5,8117,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5017,Marañon Bajo,8118,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5018,Zonaméríca,8119,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5019,El Carmen - San Bartolo - PP11,8120,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5020,PP9,8121,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5021,PP10,8122,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5022,PP8,8123,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
5023,PP6,8124,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
