id,nombre,codigo,id_vereda,created,updated
65,El Cerezo,6007,10,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
66,Las Nieves,6008,10,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
67,La Elvira (Cabecera),6101,11,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
68,Los Laureles,6102,11,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
69,Alto Aguacatal,6103,11,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
70,La Castilla (Cabecera),6201,12,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
71,Las Palmas,6202,12,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
72,Los Limones,6203,12,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
73,Las Brisas,6205,12,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
74,El Futuro,6206,12,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
75,El Pinar,6207,12,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
76,Galeras,6208,12,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
77,La Paz (Cabecera),6301,13,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
78,Villa del Rosario,6302,13,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
79,Lomitas,6303,13,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
80,Montebello (Cabecera),6401,14,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
81,Campoalegre,6403,14,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
82,Aguacatal,6404,14,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
83,Golondrinas (Cabecera),6501,15,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
84,La María,6503,15,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
85,Sector Tres Cruces,6599,15,2023-04-27T20:02:34-07:00,2023-04-27T20:02:34-07:00
